诗名:诗名英文:作者名:作者名英文:诗歌种类:中文版:英文版
登鹳雀楼:On The Stork Tower:王之涣:Wang Zhihuan:3:白日依山尽，黄河入海流，欲穷千里目，更上一层楼。:The sun along the mountain bows; The Yellow River seawards flows; You will enjoy a grander sight; If you climb to a greater height.
凉州词:Out Of The Great Wall:王之涣:Wang Zhihuan:3:黄河远上白云间，一片孤城万仞山，羌笛何须怨杨柳，春风不度玉门关。:The Yellow River rises to the white cloud;The lonely town is lost amid the mountains proud;Why should the Mongol flute complain no willows grow;Beyond the Gate of Jade no vernal wind will blow.
春晓:Spring Morning:孟浩然:Meng Haoran:3:春眠不觉晓，处处闻啼鸟，夜来风雨声，花落知多少。:This spring morning in bed I'm lying;Not to awake till birds are crying;After one night of wind and showers;How many are fallen flowers.
宿建德江:Mooring On The River At JianDe:孟浩然:Meng Haoran:3:移舟泊烟渚，日暮客愁新，野旷天低树，江清月近人。:My  boat is moored near an isle in mist grey;I'm grieved anew to see the parting day;On boundless plain trees seem to scrape the sky;In water clear the moon appeals so high.
从军行七首（选二）其四:Army Life(IV):王昌龄:Wang Changling:2:青海长云暗雪山，孤城遥望玉门关，黄沙百战穿金甲，不破楼兰终不还。:Clouds on frontier o'er shadow mountains clad in snow;A lonely town afar faces Pass of Jade Gate;Our golden armor pierced by sand, we fight the foe;We won't come back till we destroy the hostile state.
从军行七首（选二）其五:Army Life(V):王昌龄:Wang Changling:2:大漠风尘日色昏，红旗半卷出辕门，前军夜战洮河北，已报生擒吐谷浑。:The wind and sand in the desert have dimmed sunlight;With red flags half unfurled we go through the camp gate;North of the River Tao, after nocturnal fight;Our vanguards capture the chieftain of hostile state.
出塞:On The Frontier:王昌龄:Wang Changling:2:秦时明月汉时关，万里长征人未还，但使龙城飞将在，不教胡马度阴山。:The moon still shines on mountain passes as of yore;How many guardsmen of the Great Wall are no more;If the flying general were still there in command;No hostile steeds would have dared to invade our land.
西宫秋怨:A Neglected Beauty In The West Palace:王昌龄:Wang Changling:0:芙蓉不及美人妆，水殿风来珠翠香，却恨含情掩秋扇，空悬明月待君王。:The lotus bloom feels shy beside the lady fair;The breeze across the lake takes fragrance from her hair;An autumn fan cannot conceal her hidden love;In vain she waits for her lord with the moon above.
长信秋词:A Disfavored Court Lady In Autumn:王昌龄:Wang Changling:0:奉帚平明金殿开，且将团扇共徘徊，玉颜不及寒鸦色，犹带昭阳日影来。:At dawn she brings her broom to dust the golden halls;She lingers with a fan within the palace walls;Her rosy color envies wintry crows' black one;Oft bathed in favorable light of royal sun.
闺怨:Sorrow Of A Younc Bride In Her Boudoir:王昌龄:Wang Changling:0:闺中少妇不知愁，春日凝妆上翠楼，忽见枝头杨柳色，悔教夫婿觅封侯。:The young bride in her boudoir does not know what grieves;She mounts the tower, gaily dressed, on a spring day;Suddenly seeing by roadside green willow leaves;How she regrets her lord seeking fame far away!
芙蓉楼送辛渐:Farewell To Xin Jian At Lotus Tower:王昌龄:Wang Changling:1:寒雨连江夜入吴，平明送客楚山孤，洛阳亲友如相问，一片冰心在玉壶。:A cold rain mingled with East Stream invades the night;At dawn you leave the Southern hills lonely in haze;If my friends in the North should ask if I'm all right;My heart is free of stain as ice in crystal vase.
终南忘积雪:Snow Atop Southern Mountains:祖咏:Zu Yong:3:终南阴岭秀，积雪浮云端，林表明霁色，城中增暮寒。:How fair the gloomy mountainside;Snow-crowned peaks float above the cloud;The forest bright in sunset dyed;With evening cold the town's o'er flowed.
孟城坳:The City Gate:王维:Wang Wei:3:新家孟城口，古木余衰柳，来者复为谁，空悲昔人有。:I've moved in near the city gate;Where withered willow trees are left;Should another move here too late;Alas! of trees he'd be bereft.
鹿柴:The Deer Enclosure:王维:Wang Wei:3:空山不见人，但闻人语响，返景入深林，复照青苔上。:In pathless hills no man's in sight;But I still hear echoing sound;In gloomy forest peeps no light;But sunbeams slant on mossy ground.
竹里馆:The Bamboo Hut:王维:Wang Wei:0:独坐幽篁里，弹琴复长啸，深林人不知，明月来相照。:Sitting among bamboos alone;I play my lute and croon carefree;In the deep woods where I'm unknown;Only the bright moon peeps at me.
鸟鸣涧:The Dale Of Singing Birds:王维:Wang Wei:4:人闲桂花落，夜静春山空，月出惊山鸟，时鸣春涧中。:Sweet laurel blooms fall unenjoyed;Vague hills dissolve into night void;The moonrise startles birds to sing;Their twitter fills the dale with spring.
山中送别:Parting In The Hills:王维:Wang Wei:1:山中相送罢，日暮掩柴扉，春草明年绿，王孙归不归。:I see off the hills my compeer;At dusk I close my wicket door;When grass turns green in spring next year;Will my friend come with spring once more?
杂诗:Our Native Place:王维:Wang Wei:3:君自故乡来，应知故乡事，来日倚窗前，寒梅著花未？:You come from native place;What happened there you'd know;Did mume blossoms in face;Of my gauze window blow?
相思:Love Seeds:王维:Wang Wei:0:红豆生南国，春来发几枝，愿君多采撷，此物最相思。:Red berries grow in southern land;How many load in spring the trees;Gather them till full is your hand;They would revive fond memories.
